Robot planning survey,"But first, we need some basic anonymous information for statistical purposes",1. Your gender,2. Your age,3. Have you taken classes in robotics or have professional experience working in robotics?,"For all scenes and plans, the robot in question is a robot with a wheeled base, with an arm on top. It is slightly shorter than the average human.

You must try to predict whether the plans will succeed or fail. Note: we are only interested in the plan itself. Is it a good plan? A bad plan? 
We are not considering the success or failure of the underlying code that would eventually run on the real robot.

Please do not go back to modify your answer to previous slides using information from later slides!",Will the plan succeed?,AB Test,Do you think the plan will succeed?,Use the image and the video to answer: will the plan succeed?,AB Test,Do you think the plan will succeed?,Use the image and the video to answer: will the plan succeed?,AB Test,Do you think the plan will succeed?,Use the image and the video to answer: will the plan succeed?,AB Test,Do you think the plan will succeed?,Use the image and the video to answer: will the plan succeed?,AB Test,Do you think the plan will succeed?,"4. If you have comments, please let us know!",Date,Time Taken,Country Code,Region Code,First Name,Last Name,Email,Custom Field,Participant tracking code,Completed,External ID
,,,,,,,AB Test,,,AB Test,,,AB Test,,,AB Test,,,AB Test,,,,,,,,,,,,,
,,,,,,,A:,I don't know,,,,,,,,,,,,,,2025-09-01 18:04,0,CA,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,2025-09-01 18:05,0,CA,,,,,,,FALSE,
,,,,,,,A:,,,,,,,,,,,,,,,2025-09-01 18:05,0,CA,,,,,,,FALSE,
,,,,,,,B:,Success,,A:,I don't know,,B:,Success,,B:,Failure,,A:,I don't know,,2025-09-01 18:07,0,CA,,,,,,,TRUE,
,,,,,,,A:,Success,,A:,Failure,,A:,Success,,B:,Failure,,B:,Success,,2025-09-01 18:15,0,CA,,,,,,,TRUE,
,,,,,,,A:,,,,,,,,,,,,,,,2025-09-01 18:19,0,CA,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,2025-09-01 18:43,0,CA,,,,,,,FALSE,
,,,,,,,B:,Failure,,B:,Failure,,A:,Success,,A:,I don't know,,B:,Failure,,2025-09-01 18:45,0,CA,,,,,,,TRUE,
,,,,,,,B:,Failure,,B:,Failure,,A:,Success,,B:,Failure,,B:,Failure,,2025-09-01 19:15,0,CA,,,,,,,TRUE,
,,Man,24,No,,,A:,Success,,B:,Failure,,B:,Success,,B:,Failure,,B:,Failure,,2025-09-01 20:09,0,CA,,,,,,,TRUE,
,,Man,26,No,,,,,,,,,,,,,,,,,,2025-09-01 20:17,0,GB,,,,,,,FALSE,
,,Man,28,No,,,B:,Failure,,A:,Failure,,B:,Success,,A:,Failure,,B:,Failure,,2025-09-01 20:25,0,US,,,,,,,TRUE,
,,Man,27,No,,,B:,Success,,B:,Failure,,B:,Success,,B:,Success,,B:,Failure,,2025-09-01 20:31,0,SE,,,,,,,TRUE,
,,Non-binary,26,No,,,B:,Success,,A:,Success,,B:,Success,,A:,Success,,A:,Failure,,2025-09-01 22:23,0,GB,,,,,,,TRUE,
,,Man,27,No,,,A:,Success,,B:,Failure,,A:,Success,,A:,Failure,,A:,Failure,Hiii,2025-09-01 22:55,0,MX,,,,,,,TRUE,
,,Man,29,No,,,B:,I don't understand the plan or the objects in the scene,,,,,,,,,,,,,,2025-09-01 23:42,0,CA,,,,,,,FALSE,
,,Man,58,No,,,B:,Failure,,B:,Failure,,A:,Success,,A:,Success,,A:,Failure,How do we know if we got this right?,2025-09-01 23:44,0,CA,,,,,,,TRUE,
